categoryid,parentid
231,
791,
1490,
431,
755,
378,
1579,
1394,
659,
1057,
859,
803,
250,
1452,
1182,
1692,
1600,
1482,
1224,
1532,
395,
653,
140,
1698,
679,
397,8
1230,8
681,8
1225,8
70,8
570,9
1295,9
142,9
625,9
916,9
1189,9
789,14
1573,14
1117,14
1184,14
892,14
165,14
1415,14
1297,19
35,20
295,20
973,20
1153,20
928,20
1282,25
1261,25
1060,25
811,25
393,25
709,25
1343,25
486,25
269,33
839,33
151,33
208,33
784,38
548,38
1470,44
423,47
376,48
328,54
612,54
1141,55
425,55
296,55
1521,55
640,55
835,55
896,55
897,61
1688,61
1003,61
1058,61
1136,61
323,61
1430,61
1191,61
1517,71
1159,71
1689,71
259,71
454,71
590,71
1453,71
87,71
76,71
527,73
299,73
444,73
1000,92
558,92
637,92
437,92
1610,92
1169,92
327,92
1234,92
319,92
356,92
1096,92
1348,92
812,92
700,95
1340,101
1241,101
847,101
1155,101
124,104
555,104
1138,104
1421,105
618,105
1222,105
478,105
744,105
1492,107
1174,107
1412,107
226,107
44,110
400,110
905,110
489,110
509,110
282,113
429,113
1114,113
1125,113
1145,113
577,114
1646,114
1097,114
680,114
904,114
133,114
218,116
1337,116
1228,121
1390,121
1642,121
1349,121
1411,121
1563,121
563,121
1219,121
942,125
1220,125
1273,125
367,125
1119,125
1253,127
1047,127
652,127
1456,127
884,127
484,127
1300,127
661,127
1333,127
539,131
315,131
1094,131
1015,131
370,131
185,131
617,131
223,131
374,131
1435,131
983,131
961,132
467,132
993,132
268,138
1575,138
1352,139
1363,139
540,140
1486,140
1311,140
61,140
409,140
384,140
920,140
164,140
1519,140
545,143
263,143
366,143
921,143
270,143
936,143
1634,143
402,143
464,143
1448,145
130,145
619,145
497,149
413,149
628,149
1543,157
396,164
249,164
314,164
104,164
1290,164
1272,164
1467,164
809,169
1004,169
868,169
18,170
767,170
42,170
1585,170
309,178
483,178
1055,183
595,186
804,187
997,187
1053,187
514,188
1568,188
863,194
1084,194
251,194
1218,203
1109,203
401,203
476,203
1406,203
517,206
1477,206
887,206
64,206
414,206
290,207
770,207
212,207
407,207
1013,207
689,207
1508,209
1016,213
772,213
692,213
797,213
1506,213
1455,213
123,214
564,214
1612,216
783,216
1494,216
914,226
1043,226
634,226
677,226
419,229
537,229
1598,229
824,232
1683,232
1520,245
7,250
1252,250
463,250
543,250
457,250
678,250
1485,250
1086,250
1669,250
1695,250
420,250
238,250
546,250
642,250
74,250
1120,250
1613,250
391,250
795,250
1561,250
1027,250
583,250
506,250
1420,250
724,250
1629,250
1335,250
1167,250
1402,250
329,250
1190,250
757,252
1322,252
1331,252
1303,252
573,252
1022,252
1238,265
1523,265
1516,265
970,275
338,275
1088,287
265,287
1481,287
339,287
747,287
65,293
1445,293
1266,293
1560,293
1066,293
828,293
1134,293
209,293
720,305
318,305
257,312
607,312
1251,312
297,312
50,312
127,312
1433,312
2,312
